,Марка,Модель,Год выпуска,Город продажи,Тип топлива,"Объем двигателя, л.","Мощность, л.с.",Коробка передач,Привод,Цвет,"Пробег, км",Поколение,Количество регистраций,"Цена, руб."
1293,Porsche,Panamera,2019,Москва,бензин,3.0,330.0,робот,4WD,серый,29999.0,2 поколение,1.0,9500000
1294,Porsche,Panamera,2011,Мыски,бензин,3.6,300.0,робот,4WD,белый,97100.0,1 поколение,7.0,3550000
1295,Porsche,Macan,2017,Москва,бензин,2.0,252.0,робот,4WD,белый,73128.0,1 поколение,1.0,3780000
1296,Porsche,Macan,2017,Новокузнецк,бензин,2.0,252.0,робот,4WD,черный,56300.0,1 поколение,4.0,3600000
1297,Porsche,924,1987,Улан-Удэ,бензин,2.5,160.0,механика,задний,белый,140000.0,,,300000
1298,Porsche,Cayenne,2003,Ангарск,бензин,4.5,340.0,АКПП,4WD,черный,226735.0,1 поколение,7.0,490000
1299,Porsche,Cayenne,2012,Иркутск,бензин,4.8,400.0,АКПП,4WD,синий,179902.0,2 поколение,3.0,2640000
1300,Porsche,Cayenne,2011,Тверь,дизель,3.0,239.0,автомат,4WD,черный,168505.0,,7.0,2465000
1301,Porsche,Cayenne,2015,Москва,дизель,3.0,245.0,АКПП,4WD,черный,92000.0,"2 поколение, рестайлинг",1.0,4200000
1302,Porsche,Macan,2017,Москва,бензин,3.0,340.0,робот,4WD,коричневый,60000.0,1 поколение,4.0,3950000
1303,Porsche,Macan,2014,Москва,бензин,3.6,400.0,робот,4WD,оранжевый,60000.0,1 поколение,3.0,3350000
1304,Porsche,Panamera,2011,Воронеж,бензин,4.8,400.0,робот,4WD,белый,135000.0,1 поколение,8.0,2100000
1305,Porsche,Cayenne,2003,Екатеринбург,бензин,4.5,450.0,АКПП,4WD,белый,186500.0,1 поколение,6.0,999000
